Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Type,location_1,Zip Codes,Distance_to_McKeldin
1,301 BP,Gas Station Store,BRANDYWINE,MD,20613,14807 CRAIN HWY,,Food Establishments,POINT (-76.872392 38.685163),9221,21.114355846789238
2,A&D BUFFALO,Carry-out,WEST HYATTSVILLE,MD,20782,3500 EAST WEST HWY,FC 9,Food Establishments,POINT (-76.958574 38.966903),8789,1.5006460185474981
3,A-1 LIQUOR AND RESTAURANT,Full Service,LANHAM-SEABROOK,MD,20706,7910 MARTIN LUTHER KING JR HWY,,Food Establishments,POINT (-76.868849 38.931458),15994,5.565334249279728
4,ACAPULCO SPIRIT,Full Service,WEST HYATTSVILLE,MD,20782,3100 HAMILTON ST,,Food Establishments,POINT (-76.96319 38.956102),8789,2.277403110600616
5,ACCOKEEK ACADEMY I,Public School,ACCOKEEK,MD,20607,14400 BERRY RD,,Food Establishments,POINT (-76.980676 38.687531),8834,20.673178075504012
6,ACCOKEEK ACADEMY II,Public School,ACCOKEEK,MD,20607,14600 BERRY RD,,Food Establishments,POINT (-76.979803 38.685156),8834,20.832011276706776
7,ACCOKEEK EXXON,Gas Station Store,ACCOKEEK,MD,20607,15797 LIVINGSTON RD,,Food Establishments,POINT (-77.010294 38.670031),8834,22.073211111849652
8,ACCOKEEK SEAFOOD RESTAURANT,Restaurant,ACCOKEEK,MD,20607,15790 LIVINGSTON RD,,Food Establishments,POINT (-77.009748 38.669918),8834,22.076230063354906
10,ACE SUSHI @ GIANT FOOD 310,Grocery Store,BOWIE,MD,20715,15520 ANNAPOLIS RD,,Food Establishments,POINT (-76.734892 38.979432),16435,11.324920278273394
11,AFRICARIB,Carry-out,FORT WASHINGTON,MD,20744,946 EAST SWAN CREEK RD,,Food Establishments,POINT (-76.992488 38.72495),15572,18.183398537060732
12,AFTER 12 AFRICAN CARRYOUT,Carry-out,LANDOVER,MD,20785,7523 LANDOVER RD,,Food Establishments,POINT (-76.885982 38.926636),31451,5.182616642185736
13,AGAMA KITCHEN AND RESTAURANT,Full Service,BLADENSBURG,MD,20710,5640 ANNAPOLIS RD,,Food Establishments,POINT (-76.918268 38.939463),16001,3.515557167873438
14,ALADDIN SIZZLER,Carry-out,MOUNT RAINIER,MD,20712,3231 RHODE ISLAND AVE,,Food Establishments,POINT (-76.96231 38.935651),16003,3.5906451224647973
15,ALAMO MEXICAN RESTAURANT,Full Service,RIVERDALE,MD,20737,5508 KENILWORTH AVE,,Food Establishments,POINT (-76.921605 38.957312),15302,2.344038356941762
16,THYME CATERING 2,Carry-out,UPPER MARLBORO,MD,20772,14735 MAIN ST,,Food Establishments,POINT (-76.751282 38.816495),17002,15.675368002155476
18,SUBWAY,Fast Food,TEMPLE HILLS,MD,20748,7071 ALLENTOWN RD,,Food Establishments,POINT (-76.92678 38.793548),15817,13.307396834285202
19,SARITA'S CHICKEN & RESTAURANT,Full Service,LAUREL,MD,20707,15101 BALTIMORE AVE,,Food Establishments,POINT (-76.847369 39.097284),15996,9.307303462490802
20,AL'S DELI SUPREME,Carry-out,UPPER MARLBORO,MD,20772,14703 MAIN ST,,Food Establishments,POINT (-76.751782 38.816332),17002,15.665824595309934
21,ALTERNATIVE SCHOOL COMPLEX,Public School,BLADENSBURG,MD,20710,5150 ANNAPOLIS RD,,Food Establishments,POINT (-76.930795 38.93955),16001,3.290628598980714
22,America's Best Pizza & Wings,Fast Food,LANDOVER,MD,20785,7519 LANDOVER RD,,Food Establishments,POINT (-76.886014 38.926632),31451,5.181776327426492
23,AMERICAN BUFFALO WINGS & FISH,Carry-out,TEMPLE HILLS,MD,20748,7075 ALLENTOWN RD,,Food Establishments,POINT (-76.92675 38.793545),15817,13.307723137421394
24,AMERICAN LEGION BELTWAY POST 172,Private Club,GLENARDEN,MD,20706,7105 CIPRIANO RD,,Food Establishments,POINT (-76.854091 38.988207),15994,4.90054264400205
25,AMERICAN LEGION COLMAR MANOR POST 131,Private Club,BRENTWOOD,MD,20722,4103 LAWRENCE ST,,Food Establishments,POINT (-76.945023 38.933654),17161,3.6062766342582524
26,AMERICAN LEGION DISNEY BELL POST 66,Private Club,BOWIE,MD,20720,9605 OLD LAUREL BOWIE RD,,Food Establishments,POINT (-76.78572 39.022335),15999,8.936888251139834
27,AMERICAN LEGION GREENBELT POST 136,Private Club,GREENBELT,MD,20770,6900 GREENBELT RD,,Food Establishments,POINT (-76.887955 38.995804),16242,3.1492272136524524
28,AMERICAN LEGION POST 108,Private Club,LANDOVER,MD,20785,3608 LEGION DR,,Food Establishments,POINT (-76.913926 38.932869),31451,4.026440267184353
29,AMERICAN LEGION POST 248,Private Club,TEMPLE HILLS,MD,20748,5600 JANICE LN,,Food Establishments,POINT (-76.951352 38.812465),15817,11.970721765204008
30,AMERICAN LEGION POST 259,Private Club,CLINTON,MD,20735,9122 PISCATAWAY RD,,Food Establishments,POINT (-76.900731 38.76484),15298,15.437331156811522
31,AMERICAN LEGION POST 275,Private Club,LANHAM-SEABROOK,MD,20706,8201 MARTIN LUTHER KING JR HWY,,Food Establishments,POINT (-76.864207 38.934191),15994,5.630813499500645
32,AMERICAN LEGION POST 60,Private Club,LAUREL,MD,20707,2 MAIN ST,,Food Establishments,POINT (-76.840287 39.101586),15996,9.768367781622342
33,AMERICAN RESCUE WORKERS,Group Home,CAPITOL HEIGHTS,MD,20743,716 RITCHIE RD,,Food Establishments,POINT (-76.858227 38.878272),15568,8.777622916620421
34,AMERICA'S BEST BISTRO,Carry-out,TEMPLE HILLS,MD,20748,4277 BRANCH AVE,,Food Establishments,POINT (-76.941646 38.833224),15817,10.535597663855482
35,AMERICA'S BEST WINGS,Fast Food,LANDOVER,MD,20785,7007 MARTIN LUTHER KING JR HWY,,Food Establishments,POINT (-76.88486 38.914974),31451,5.871775050056352
36,AMERICA'S BEST WINGS,Fast Food,GREENBELT,MD,20770,8841 GREENBELT RD,,Food Establishments,POINT (-76.852711 38.990913),15994,4.984084719798543
